asset.display_ipv4_address,asset.name,id,output
10.100.130.37,p482582,24a8bbca-4116-4923-b46b-0a2d536d1175,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.212.193.151,p482777,255c46bf-5ecb-4e31-b180-76fa2d45b433,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.220.144.204,p522335,2646111e-6f7d-41a0-8385-e95bc4f3e203,"'
  Path              : C:\Temp\Ora12_32\stage\Components\oracle.dbdev\12.2.0.1.0\1\DataFiles\filegroup1.jar
  Installed version : 1.2.13
  Fixed version     : 2.16.0
"
10.236.69.57,p483062,270354e5-dd04-4f17-a0a5-2a11a3b6ed58,"'
  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.64.81.222,p000806,2707718c-086b-46fa-ad44-6f0fc7da0e87,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.240.66.173,p487567,291c379c-8062-4cd6-bef8-d937a83e1466,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\Users\c023319\PDF Split And Merge\lib\log4j-1.2.15.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : D:\BACKUP Ligia\PDF Split And Merge\lib\log4j-1.2.15.jar
  Installed version : 1.2.15
  Fixed version     : 2.16.0
"
10.212.129.165,p487449,2a79d78b-c1b9-4d85-b5d7-58e24b92ca52,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.50.17.2,p522446,2ad9b1dd-b2b3-4aa3-9aa8-26ff80b41835,"'
  Path              : D:\bkphp\william\Automa‡Æo\SAGE\CURSO_SAGE_DEZ_17\Base Fonte Curso\lib\java\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : D:\bkphp\william\Automa‡Æo\SAGE\CURSO_SAGE_DEZ_17\sage_28\lib\java\log4j-1.2.14.jar
  Installed version : 1.2.14
  Fixed version     : 2.16.0
"
10.64.82.30,p000832,2b3952af-9c1c-4125-b0e2-362d0a7efacc,"'
  Path              : C:\IBM\InformationServer_11.7.1\wlp\usr\servers\mis\apps\brokers.war
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : C:\IBM\InformationServer_11.7.1\ASBNode\lib\java\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : C:\Users\c802703\Downloads\V980724-01\client\stage\Components\oracle.dbdev\12.2.0.1.0\1\DataFiles\filegroup1.jar
  Installed version : 1.2.13
  Fixed version     : 2.16.0



  Path              : C:\backup\auto_cis\LOG_SOLMAN\8000325286\war\WSObras.war
  Installed version : 1.2.14
  Fixed version     : 2.16.0



  Path              : C:\backup\auto_cis\atual\cis-wstrade\tomcat\webapps\WSTrade.war
  Installed version : 1.2.15
  Fixed version     : 2.16.0



  Path              : D:\Chamados\705839\CIS\pat_copel_230906c_E.tar\AgenciaSMSWeb.war
  Installed version : 1.2.8
  Fixed version     : 2.16.0



  Path              : D:\Chamados\718239\pat_copel_230906c_E.tar\AgenciaSMSWeb.war
  Installed version : 1.2.8
  Fixed version     : 2.16.0



  Path              : D:\backup\C\Downloads\V980724-01\client\stage\Components\oracle.dbdev\12.2.0.1.0\1\DataFiles\filegroup1.jar
  Installed version : 1.2.13
  Fixed version     : 2.16.0
"
10.240.67.30,p487499,2be1365a-4d9f-4b71-8941-50d98e969359,"'
  Path              : C:\APL\SigepWeb\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.219.224.174,p522415,2bfef55b-3b5d-4d8a-96db-af0b37b2d53b,"'
  Path              : D:\Automa‡Æo\SASE_7.0.4\EditorSASE-7.0.4\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0
"
10.64.225.160,p487015,2c225bf4-453d-4c93-b3d8-e162712e4f04,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.100.130.220,p483278,2d759278-b9e8-4c3e-95a6-d99f837d8cb6,"'
  Path              : C:\APL\SigepWEB\Bkp\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0



  Path              : C:\APL\SigepWEB\sigepcliente\lib\log4j-1.2.16.jar
  Installed version : 1.2.16
  Fixed version     : 2.16.0
"
10.65.1.81,p000811,2d94d8c3-78ae-45af-a370-af609db94637,"'
  Path              : D:\Mauricio_Neto_Local\2023\10_OUT\CargaBase_3.1\CargaBase\lib\cargabasebusiness-9.7RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.3 / 2.17.0



  Path              : D:\Mauricio_Neto_Local\2023\10_OUT\CargaBase_3.1\CargaBase\lib\cargabasepersistence_6.2RC.jar
  Installed version : 2.11.1
  Fixed version     : 2.12.3 / 2.17.0
"
192.168.56.1,p489257,2d9874f9-46fb-430d-bb32-1b9ea1448f17,"'
  Path              : D:\Arquivos de Programas\EditorSASE-7.0.0-rev2-beta3\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : D:\SASE7\Ades3.0.0_java_embutido\ades_lib\log4j-1.2.13.jar
  Installed version : 1.2.13
  Fixed version     : 2.16.0



  Path              : D:\SASE7\SASE_7.0.3\EditorSASE-7.0.3\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : D:\SASE7\SASE_7.1.0\EditorSASE-7.1.0\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0



  Path              : D:\SASE7\VERSåES\SASE_7.0.3\EditorSASE-7.0.3\lib\log4j-1.2.17.jar
  Installed version : 1.2.17
  Fixed version     : 2.16.0
"
